timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
2025-08-09T00:00:53.403450+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:00:53.403487+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
